id,cui,denumire,dosare_count
286,,SC DEDEMAN DEVA,1
284,18aboratorul0547,SC DEDEMAN SRL,5
159,,SC DEDEMAN SRL - PUNCT DE LUCRU BUZĂU - MAGAZINE NR. 48,1
158,,SC DEDEMAN SRL BACĂU,1
221,,SC DELTA SCOPE SRL,1
222,,SC DENIRA SRL,1
109,,SC DFR SYSTEMS SRL PRIN REPREZENTANT LEGAL,1
224,,SC DIAFAN SRL,1
102,,SC DUVENBEK LOGISTIK SRL PRIN REPREZENTANT LEGAL,1
233,,SC ECO MOLD INVEST SRL,1
114,,SC EUROECOLOGIC SRL PRIN AV FORI I GYORGYI,1
134,,SC GAZ EST SA PRIN REPREZENTANT LEGAL,1
92,,SC GEOCON GLOBAL CONSULTING SRL,1
143,,SC GOTIC SA PRIN ADMINISTRATOR JUDICIAR,1
116,,SC IZODOMSTAR SRL PRIN REPREZENTANT LEGAL,1
106,,SC J.A.  PETROL SRL PRIN REPREZENTANT,1
122,,SC LUMBET SRL  PRIN REPREZENTANT LEGAL,1
112,,SC POLARIS M HOLDING SRL PRIN REPREZENTANT LEGAL,1
121,,SC RAMI TEHNIC TRANS SRL PRIN REPREZENTANT LEGAL,1
137,,SC RAMOSS COM SRL PRIN REPREZENTANT LEGAL,1
139,,SC RENEVIA SERV SRL PRIN REPREZENTANT LEGAL,1
94,,SC RESORT DISTRIBUTION SRL,1
144,,SC SALAUTA CONSTRUCT SRL PRIN REPREZENTANT LEGAL,1
117,,SC SEDA INVEST SRL PRIN REPREZENTANT LEGAL,1
155,,SC SIDES TECH SRL PRIN REPREZENTANT LEGAL,1
145,,SC TECHNO PRO SRL PRIN REPREZENTANT LEGAL,1
138,,SC TONG CONSTRUCT PRIN REPREZENTANT LEGAL,1
99,,SC TPS CONSTRUCTII VEST SRL PRIN REPREZENTANT LEGAL,1
100,,SC TURISANNIO SRL PRIN REPREZENTANT LEGAL,1
113,,SC VBH ROMCOM SRL PRIN REPREZENTANT LEGAL,1
71,,SEA ROMÂNIA SRL,1
273,,SERGIU AGROTRANS S.R.L.,1
237,,SIAD ROMANIA SRL,1
240,,SICA GUARD SRL,1
274,,SIDER FIER S.R.L.,1
80,,SIDERPLAST ROMÂNIA SRL,1
90,,SILNEF SRL PRIN REPREZENTANT LEGAL,1
275,,SOCAR PETROLEUM S.A. - LA RUS&ASOCIAŢII SPRL,1
16,,SOCAR PETROLEUM SA,1
35,,SOCIETATEA DE TRANSPORT PUBLIC NEAMŢ SA,1
241,,SOCOT SA,1
20,,SOS SECURITY SRL,1
81,,"STRATTON INTERNATIONAL SRL, PRIN REPREZENTANT LEGAL",1
115,,SVC VILLEX SRL PRIN REPREZENTANT LEGAL,1
133,,SYMMETRICA SRL PRIN REPREZENTANT LEGAL,1
119,,T.T.H. LABS SRL PRIN REPREZENTANT LEGAL,1
47,,TEHNIK WOOD SRL,1
135,,TERMENE JUST SRL PRIN REPREZENTANT LEGAL,1
104,,TIR INC SRL PRIN AVOCAT,1
36,,TRANS DAN MIR SRL,1
95,,TRANSGAT SORT SRL PRIN REPREZENTANT LEGAL,1
276,,TRANSMIR S.R.L.- LA CAB. AVOCAT ZĂPODEANU CĂTĂLIN,1
197,,TREVIRA IMPEX SRL,1
31,,TRUTZI SRL,1
255,,UNICREDIT BANK S.A.- LA MOLDOVEANU ŞI ASOCIAŢII SCA,1
96,,UNIOR TEPID SRL,1
28,,UNIPAK SRL,1
166,,VAN DER HANN SRL,1
130,,VECTRA SERVICE SRL PRIN AV ADELA MARIA DANCU,1
157,,VERTICAL DESIGN SRL PRIN REPREZENTANT LEGAL,1
14,,VESTEL SRL,1
129,,VIA STRADE INTERNATIONAL SRL PRIN REPREZENTANT LEGAL,1
277,,VIACON ROMÂNIA S.R.L.,1
278,,VICTORY EXECUTIVE S.R.L.,1
279,,VITALMOTOR S.R.L.,1
149,,VLADIMIR TRANS SRL PRIN REPREZENTANT LEGAL,1
40,,VODAFONE ROMÂNIA SA,1
34,,VOESTALPINE HIGH PERFORMANCE METALS ROMANIA SRL,1
136,,WORLS CLASS DISTRIBUTION SRL PRI REPREZENTANT  LEGAL,1
280,,YSP CONSULT CONSULTING S.R.L.,1
204,,ZELENCZ FLORIN ALEXANDRU PFA,1
281,,ZZZ CLIM CONST S.R.L.,1
